363845817,1273630788,282.2625
363845832,1273630701,282.27500000000003
363845849,1273630605,282.27500000000003
363845866,1273630516,282.2375
363845883,1273630417,282.2
363845900,1273630327,282.15000000000003
363845918,1273630224,282.08750000000003
363845935,1273630130,282.02500000000003
363845952,1273630026,281.95
363845969,1273629930,281.8625
363845986,1273629824,281.7875
363846007,1273629704,281.71250000000003
363846024,1273629604,281.675
363846041,1273629505,281.6375
363846058,1273629404,281.58750000000003
363846078,1273629291,281.575
363846095,1273629189,281.5625
363846115,1273629074,281.55
363846133,1273628969,281.55
363846153,1273628853,281.55
363846173,1273628734,281.5375
363846190,1273628628,281.55
363846210,1273628508,281.575
363846227,1273628400,281.58750000000003
363846247,1273628278,281.625
363846267,1273628169,281.625
363846287,1273628057,281.625
363846296,1273627997,281.625
363846319,1273627871,281.6375
363846336,1273627760,281.6875
363846359,1273627635,281.725
363846379,1273627508,281.8125
363846399,1273627395,281.875
363846419,1273627280,281.9375
363846442,1273627151,282.0125
363846465,1273627022,282.0625
363846488,1273626893,282.1625
363846508,1273626777,282.21250000000003
363846528,1273626658,282.2625
363846554,1273626528,282.3
363846574,1273626410,282.35
363846597,1273626277,282.35
363846620,1273626157,282.33750000000003
363846640,1273626039,282.27500000000003
363846666,1273625905,282.1875
363846689,1273625771,282.08750000000003
363846709,1273625649,282.0125
363846732,1273625527,281.9375
363846755,1273625392,281.8875
363846775,1273625270,281.8625
363846798,1273625146,281.875
363846821,1273625011,281.9125
363846844,1273624873,281.95
363846866,1273624748,281.9875
363846889,1273624610,281.9875
363846912,1273624485,281.9875
363846935,1273624362,281.96250000000003
363846955,1273624236,281.9375
363846981,1273624095,281.9125
363847001,1273623970,281.9125
363847027,1273623829,281.9125
363847050,1273623704,281.9125
363847073,1273623563,281.975
363847099,1273623422,282.0125
363847122,1273623279,282.02500000000003
363847142,1273623166,282.02500000000003
363847167,1273623024,282.0125
363847190,1273622897,281.96250000000003
363847216,1273622754,281.9375
363847239,1273622611,281.8875
363847262,1273622482,281.875
363847273,1273622409,281.8875
363847296,1273622281,281.90000000000003
363847322,1273622138,281.96250000000003
363847345,1273622007,282.0
363847371,1273621863,282.0125
363847394,1273621732,282.0
363847417,1273621588,282.0125
363847440,1273621458,281.96250000000003
363847465,1273621313,281.9375
363847491,1273621167,281.90000000000003
363847514,1273621036,281.8875
363847537,1273620906,281.85
363847566,1273620746,281.85
363847586,1273620628,281.875
363847612,1273620481,281.925
363847634,1273620351,281.9875
363847660,1273620203,282.0
363847686,1273620057,282.0
363847709,1273619925,282.0
363847732,1273619792,281.9875
363847755,1273619660,281.975
363847781,1273619512,281.9375
363847804,1273619380,281.9125
363847829,1273619232,281.8875
363847852,1273619098,281.83750000000003
363847878,1273618950,281.825
363847901,1273618818,281.8
363847927,1273618668,281.8
363847953,1273618520,281.8
363847976,1273618386,281.8
363848001,1273618238,281.85
363848024,1273618104,281.8875
363848047,1273617970,281.96250000000003
363848073,1273617823,282.0125
363848096,1273617687,282.02500000000003
363848122,1273617539,282.0375
363848148,1273617389,282.0125
363848173,1273617255,281.975
363848196,1273617121,281.95
363848208,1273617047,281.95
363848231,1273616911,281.9125
363848259,1273616761,281.875
363848285,1273616612,281.85
363848308,1273616478,281.83750000000003
363848331,1273616342,281.825
363848357,1273616192,281.8125
363848383,1273616043,281.825
363848406,1273615907,281.8125
363848428,1273615771,281.8
363848454,1273615621,281.8125
363848480,1273615470,281.83750000000003
363848503,1273615334,281.85
363848529,1273615185,281.83750000000003
363848555,1273615049,281.83750000000003
363848577,1273614913,281.83750000000003
363848603,1273614762,281.8625
363848626,1273614626,281.83750000000003
363848652,1273614476,281.825
363848678,1273614325,281.85
363848701,1273614189,281.85
363848727,1273614054,281.85
363848752,1273613902,281.8125
363848778,1273613751,281.825
363848804,1273613599,281.83750000000003
363848827,1273613464,281.825
363848853,1273613312,281.83750000000003
363848876,1273613177,281.83750000000003
363848904,1273613025,281.825
363848927,1273612888,281.7875
363848950,1273612752,281.7375
363848973,1273612616,281.725
363849002,1273612449,281.75
363849025,1273612312,281.8125
363849048,1273612176,281.83750000000003
363849073,1273612039,281.83750000000003
363849099,1273611887,281.925
363849111,1273611812,281.95
363849136,1273611675,282.02500000000003
363849162,1273611524,282.02500000000003
363849185,1273611386,282.0125
363849214,1273611235,282.05
363849237,1273611099,282.05
363849262,1273610962,282.05
363849288,1273610810,282.0
363849311,1273610673,281.975
363849337,1273610521,281.925
363849366,1273610370,281.90000000000003
363849389,1273610232,281.9125
363849412,1273610095,281.96250000000003
363849440,1273609944,281.9875
363849463,1273609806,281.96250000000003
363849489,1273609655,281.96250000000003
363849512,1273609517,281.9375
363849540,1273609366,281.90000000000003
363849563,1273609228,281.95
363849586,1273609091,281.975
363849615,1273608940,281.9875
363849638,1273608804,281.975
363849664,1273608653,281.975
363849687,1273608517,281.9375
363849715,1273608365,281.90000000000003
363849738,1273608230,281.8625
363849764,1273608078,281.8625
363849790,1273607927,281.8875
363849813,1273607791,281.9125
363849839,1273607654,281.96250000000003
